timestamp,CPU_Usage,GPU_Usage,RAM_Usage,VRAM_Usage,FPS
02:00,18,29,4250,2000,61
02:30,22,35,4270,2030,60
03:00,28,40,4290,2060,59
03:30,34,45,4315,2090,57
04:00,39,50,4340,2115,55
04:30,42,53,4360,2140,54
05:00,45,56,4385,2160,52
05:30,48,58,4410,2185,50
06:00,50,60,4435,2210,49
06:30,52,62,4460,2230,48
07:00,53,63,4480,2250,47
07:30,54,64,4500,2270,46
08:00,55,65,4520,2290,45
08:30,56,66,4535,2310,45
09:00,57,67,4550,2330,46
09:30,57,68,4560,2340,47
10:00,56,67,4575,2350,48
10:30,55,66,4590,2360,49
11:00,53,64,4600,2370,51
11:30,52,62,4610,2380,52
12:00,50,60,4620,2390,53
12:30,48,58,4630,2400,54
13:00,46,56,4640,2410,55
13:30,44,54,4650,2420,56
14:00,42,52,4660,2430,58
14:30,40,50,4670,2440,60
15:00,38,48,4680,2450,62
15:30,36,46,4690,2460,63
16:00,34,44,4700,2470,64
16:30,33,42,4710,2480,65
17:00,31,40,4720,2490,66
17:30,30,39,4730,2500,66
18:00,29,38,4740,2510,65
18:30,28,37,4750,2520,64
19:00,27,36,4760,2530,63
19:30,26,35,4770,2540,62
20:00,25,34,4780,2550,61
20:30,24,33,4790,2560,60
21:00,23,32,4800,2570,59
21:30,22,31,4810,2580,58
22:00,21,30,4820,2590,57
22:30,20,29,4830,2600,56
23:00,19,28,4840,2610,56
23:30,18,27,4850,2620,57
24:00,17,26,4860,2630,58
